drugbank_id,drug_name,targets,n_targets,name_normalized,dili_label,is_dili
DB00641,Simvastatin,"['HMGCR', 'ITGAL', 'HDAC2']",3,simvastatin,Most-DILI,1.0
DB00642,Pemetrexed,"['TYMS', 'ATIC', 'DHFR', 'GART']",4,pemetrexed,,
DB00648,Mitotane,"['ESR1', 'AR', 'FDX1']",3,mitotane,,
DB00651,Dyphylline,"['PDE4B', 'NT5E', 'PDE4A', 'ADORA2A']",4,dyphylline,,
DB00655,Estrone,"['ESR1', 'AR', 'SHBG']",3,estrone,,
DB00661,Verapamil,"['CACNA1H', 'ADRA1A', 'ADRA1B', 'ABCB1']",4,verapamil,Less-DILI,1.0
DB00668,Epinephrine,"['ADRA1A', 'ADRA1B', 'ADRB2', 'ADRA2B']",4,epinephrine,,
DB00675,Tamoxifen,"['ESR1', 'PRKCA', 'SHBG', 'EBP', 'AR', 'NR1I2', 'MAPK8']",7,tamoxifen,Most-DILI,1.0
DB00677,Isoflurophate,"['ACHE', 'BCHE', 'TF']",3,isoflurophate,,
DB00687,Fludrocortisone,"['AR', 'NR3C2', 'NR3C1']",3,fludrocortisone,No-DILI,0.0
DB00688,Mycophenolate mofetil,"['IMPDH1', 'IMPDH2', 'PTS']",3,mycophenolatemofetil,,
DB00720,Clodronic acid,"['SLC25A4', 'SLC25A5', 'SLC25A6']",3,clodronicacid,,
DB00721,Procaine,"['KCNMA1', 'ASPG', 'MAOA', 'DNMT1', 'DNMT3A']",5,procaine,,
DB00726,Trimipramine,"['ADRA1A', 'ADRA1B', 'ADRA2B']",3,trimipramine,,
DB00734,Risperidone,"['ADRA1B', 'ADRA2B', 'ADRA1A']",3,risperidone,,
DB00755,Tretinoin,"['RARA', 'RARB', 'RARG', 'RXRB', 'RXRA', 'ALDH1A1', 'ALDH1A2', 'RBP4', 'PDK4']",9,tretinoin,,
DB00756,Hexachlorophene,"['DLD', 'SDHD', 'GLUD1', 'ESR1']",4,hexachlorophene,,
DB00774,Hydroflumethiazide,"['ATP1A1', 'KCNMA1', 'CA2']",3,hydroflumethiazide,,
DB00780,Phenelzine,"['MAOA', 'MAOB', 'AOC3', 'ABAT', 'GPT', 'GPT2']",6,phenelzine,,
DB00783,Estradiol,"['ESR1', 'NR1I2', 'CHRNA4', 'GPER1', 'MT-ATP6', 'BECN1']",6,estradiol,,
DB00786,Marimastat,"['MMP2', 'MMP9', 'MMP14', 'MMP15', 'MMP25']",5,marimastat,,
DB00795,Sulfasalazine,"['ABCG2', 'RELB', 'RELA', 'REL', 'ALOX5', 'PTGS2', 'ACAT1', 'IKBKB', 'NFKB1', 'NFKB2', 'CHUK', 'PPARG']",12,sulfasalazine,,
DB00799,Tazarotene,"['RARA', 'RXRB', 'RARG', 'RARB']",4,tazarotene,,
DB00800,Fenoldopam,"['ADRA1B', 'ADRA1A', 'ADRA2B']",3,fenoldopam,,
DB00822,Disulfiram,"['DBH', 'ALDH3A2', 'ALDH2']",3,disulfiram,Less-DILI,1.0
DB00824,Enprofylline,"['PDE4B', 'NT5E', 'PDE4A', 'ADORA2A']",4,enprofylline,,
DB00831,Trifluoperazine,"['CALM1', 'CALM3', 'CALM2', 'ADRA1A', 'TNNC1', 'S100A4', 'CALM1']",7,trifluoperazine,,
DB00841,Dobutamine,"['ADRA1A', 'ADRB2', 'ESR1']",3,dobutamine,,
DB00843,Donepezil,"['ACHE', 'BCHE', 'NFKB2']",3,donepezil,,
DB00852,Pseudoephedrine,"['ADRA1A', 'ADRB2', 'NFKB1', 'ATF1']",4,pseudoephedrine,,
DB00867,Ritodrine,"['ADRB2', 'KCNMA1', 'MYLK']",3,ritodrine,,
DB00893,Iron Dextran,"['HBB', 'HBA1', 'FTH1', 'FTL']",4,irondextran,,
DB00898,Ethanol,"['CHRNA4', 'VCAM1', 'GABRE', 'ACHE']",4,ethanol,,
DB00909,Zonisamide,"['SCN9A', 'SCN1B', 'CACNA1H', 'CA2', 'MAOB', 'MAOA']",6,zonisamide,,
DB00914,Phenformin,"['PRKAA1', 'PRKAG1', 'PRKAB1', 'KCNJ8']",4,phenformin,,
DB00925,Phenoxybenzamine,"['ADRA1A', 'ADRA2B', 'ADRB2', 'ADRA1B', 'CALM1']",5,phenoxybenzamine,,
DB00926,Etretinate,"['RARA', 'RXRA', 'RARB', 'RXRB', 'RARG']",5,etretinate,,
DB00935,Oxymetazoline,"['ADRA1A', 'ADRA2B', 'ADRA1B']",3,oxymetazoline,,
DB00936,Salicylic acid,"['CA2', 'PTGS2', 'AKR1C1']",3,salicylicacid,,
DB00945,Acetylsalicylic acid,"['HMGCR', 'PTGS2', 'AKR1C1', 'PRKAA1', 'EDNRA', 'TP53', 'HSPA5', 'RPS6KA3', 'NFKBIA', 'CASP1', 'CASP3', 'IKBKB', 'MAPK1', 'CCND1', 'MYC', 'PCNA', 'NEU1']",17,acetylsalicylicacid,,
DB00951,Isoniazid,"['CYP2C8', 'CYP1A2', 'CYP3A4', 'CYP2C19']",4,isoniazid,Most-DILI,1.0
DB00973,Ezetimibe,"['NPC1L1', 'SOAT1', 'ANPEP']",3,ezetimibe,,
DB00975,Dipyridamole,"['PDE4A', 'ADA', 'RCAN1', 'ORM1']",4,dipyridamole,,
DB00995,Auranofin,"['ESRRA', 'PRDX5', 'IKBKB']",3,auranofin,,
DB00997,Doxorubicin,"['TOP1', 'TOP2B', 'NOLC1']",3,doxorubicin,,
DB01013,Clobetasol propionate,"['NR3C1', 'ANXA1', 'NR3C2']",3,clobetasolpropionate,,
DB01014,Balsalazide,"['PPARG', 'PTGS2', 'ALOX5']",3,balsalazide,,
DB01016,Glyburide,"['ABCC9', 'ABCB11', 'ABCA1', 'CPT1A', 'TRPM4']",5,glyburide,No-DILI,0.0
DB01017,Minocycline,"['ALOX5', 'MMP9', 'CASP1', 'CASP3', 'CYCS', 'MAPK1']",6,minocycline,Most-DILI,1.0
DB01023,Felodipine,"['CACNA1H', 'NR3C2', 'TNNC1', 'CALM1']",4,felodipine,,
DB01025,Amlexanox,"['HSP90AA1', 'S100A12', 'S100A13']",3,amlexanox,,
DB01026,Ketoconazole,"['CYP17A1', 'AR', 'CYP21A2', 'NR1I2', 'NR1I3']",5,ketoconazole,Most-DILI,1.0
DB01033,Mercaptopurine,"['HPRT1', 'IMPDH1', 'PPAT', 'IMPDH1']",4,mercaptopurine,Most-DILI,1.0
