drugbank_id,drug_name,targets,n_targets
DB06245,Lanoteplase,"['PLAUR', 'FGA', 'LAMA5', 'F10', 'FN1', 'CLEC3B', 'KRT8', 'ANXA2', 'LAMB1', 'LAMC1', 'CALR', 'CANX', 'LRP1']",13
DB06246,Exisulind,"['GSTP1', 'AKR1B1', 'AKR1B10', 'PDE2A']",4
DB06255,Incadronic acid,"['FDPS', 'CASP3', 'CASP4', 'CASP7']",4
DB06258,Bimoclomol,"['HSPA1B', 'HSPA1A', 'HSF1']",3
DB06262,Droxidopa,"['ADRA1A', 'ADRA1B', 'ADRA2B', 'ADRB2', 'PAH']",5
DB06404,Human C1-esterase inhibitor,"['C1R', 'C1S', 'KLKB1', 'F12', 'F11', 'PLAT', 'F2']",7
DB06408,Taribavirin,"['IMPDH1', 'ENPP1', 'NT5C2']",3
DB06423,Endostatin,"['MMP2', 'MMP9', 'PTK2', 'SELE']",4
DB06436,Semaxanib,"['AHR', 'PDGFRB', 'FLT1', 'FGFR1', 'PDGFRA', 'KDR']",6
DB06439,Tyloxapol,"['RELB', 'NFKB1', 'NFKB2', 'RELA', 'REL']",5
DB06461,Squalamine,"['VEGFC', 'PDGFA', 'VEGFB']",3
DB06486,Enzastaurin,"['AKT1', 'AURKA', 'CHEK2', 'PIK3R1']",4
DB06521,Ertiprotafib,"['PTPN1', 'IKBKB', 'PPARA', 'PPARG']",4
DB06552,Anpocogin,"['F7', 'F3', 'F10']",3
DB06586,Cetilistat,"['LIPG', 'LIPF', 'PNLIP']",3
DB06589,Pazopanib,"['FLT1', 'KDR', 'FLT4', 'PDGFRA', 'PDGFRB', 'FGFR3', 'SH2B3']",7
DB06595,Midostaurin,"['PRKCA', 'KDR', 'PDGFRA', 'PDGFRB']",4
DB06607,Catumaxomab,"['FCGR2A', 'FCGR3A', 'FCGR3B', 'CD3E', 'EPCAM']",5
DB06616,Bosutinib,"['ABL1', 'LYN', 'SRC', 'MAP2K1', 'MAP2K2', 'MAP3K2', 'CAMK2G', 'FGR', 'HCK', 'TEC', 'SLK']",11
DB06626,Axitinib,"['ABL1', 'FLT1', 'KDR', 'FLT4']",4
DB06641,Perifosine,"['AKT1', 'MAPK1', 'PRKCA']",3
DB06645,Anamorelin,"['GAA', 'GANAB', 'GANC']",3
DB06685,Laquinimod,"['RELB', 'NFKB1', 'NFKB2', 'RELA', 'REL', 'CXCL2']",6
DB06692,Aprotinin,"['PRSS1', 'CTRB1', 'PLG']",3
DB06694,Xylometazoline,"['ADRA2B', 'ADRA1A', 'ADRA1B']",3
DB06732,beta-Naphthoflavone,"['ESR1', 'ESRRA', 'AHR', 'CYP1B1']",4
DB06757,Manganese cation,"['IDH3A', 'IDH3G', 'TAB1', 'ARG1', 'SOD2', 'GLUL', 'PCK2', 'PPP1CC']",8
DB06777,Chenodeoxycholic acid,"['NR1H4', 'NR1I2', 'AKR1C2']",3
DB06813,Pralatrexate,"['DHFR', 'PDF', 'FPGS', 'TYMS']",4
DB06819,Phenylbutyric acid,"['HDAC1', 'PRKCA', 'HDAC1']",3
DB06905,"(2S,3S,4E,6E,8S,9S)-3-amino-9-methoxy-2,6,8-trimethyl-10-phenyldeca-4,6-dienoic acid","['PPP2R5C', 'PPP2CA', 'PPP2R1A']",3
DB07080,TO-901317,"['NR1H2', 'NCOA2', 'RXRB', 'NR1H3', 'NCOA1', 'NR1I2']",6
DB07126,O6-CYCLOHEXYLMETHOXY-2-(4'-SULPHAMOYLANILINO) PURINE,"['GSK3B', 'CDK4', 'CDK2', 'CCNA2']",4
DB07145,(2R)-N-HYDROXY-2-[(3S)-3-METHYL-3-{4-[(2-METHYLQUINOLIN-4-YL)METHOXY]PHENYL}-2-OXOPYRROLIDIN-1-YL]PROPANAMIDE,"['MMP14', 'MMP9', 'MMP2', 'ADAM17']",4
DB07149,"(7S)-2-(2-aminopyrimidin-4-yl)-7-(2-fluoroethyl)-1,5,6,7-tetrahydro-4H-pyrrolo[3,2-c]pyridin-4-one","['CDK2', 'CDK9', 'GSK3B']",3
DB07227,L-778123,"['FNTA', 'FNTB', 'PGGT1B']",3
DB07352,Apigenin,"['CSNK2A1', 'AKR1B1', 'CYP1B1', 'AR', 'CDK6']",5
DB07374,Anisomycin,"['RPL13A', 'RPL23', 'RPL15', 'RPL19', 'RPL23A', 'RSL24D1', 'RPL26L1', 'RPL8', 'RPL37', 'RPL3', 'RPL11', 'SNU13']",12
DB07401,Azoxystrobin,"['CYC1', 'MT-CYB', 'UQCRC1', 'UQCRC2', 'UQCRH', 'UQCRQ', 'UQCRFS1', 'UQCR11', 'UQCRB', 'UQCR10']",10
DB07553,"9,9,9-TRIFLUORO-8-OXO-N-PHENYLNONANAMIDE","['HDAC8', 'HDAC4', 'HDAC1', 'HDAC6', 'HDAC2', 'HDAC10']",6
DB07556,CGS-27023,"['MMP2', 'MMP14', 'CA2', 'MMP9']",4
DB07557,"3,20-Pregnanedione","['RXRA', 'NR1I3', 'NCOA1', 'AKR1D1']",4
DB07574,"2-MERCAPTO-N-[1,2,3,10-TETRAMETHOXY-9-OXO-5,6,7,9-TETRAHYDRO-BENZO[A]HEPTALEN-7-YL]ACETAMIDE","['TUBA1A', 'TUBA1C', 'TUBA1B']",3
DB07636,"5-Heptyl-6-hydroxy-1,3-benzothiazole-4,7-dione","['MT-CYB', 'UQCRFS1', 'CYC1', 'UQCRB', 'UQCR10']",5
DB07662,PD-168393,"['EGFR', 'ERBB2', 'SRC']",3
DB07664,K-00546,"['FLT1', 'CDK2', 'CSNK1G3', 'SLK', 'ABL2']",5
DB07671,"2-[1-METHYLHEXYL]-4,6-DINITROPHENOL","['SDHA', 'SDHB', 'SDHC', 'SDHD']",4
DB07724,Indeglitazar,"['PPARA', 'PPARG', 'PPARD', 'NCOA1']",4
DB07763,"(5S)-3-ANILINO-5-(2,4-DIFLUOROPHENYL)-5-METHYL-1,3-OXAZOLIDINE-2,4-DIONE","['CYC1', 'MT-CYB', 'UQCRC1', 'UQCRC2', 'UQCRH', 'UQCRQ', 'UQCRFS1', 'UQCR11', 'UQCRB', 'UQCR10']",10
DB07771,"[(3,7,11-TRIMETHYL-DODECA-2,6,10-TRIENYLOXYCARBAMOYL)-METHYL]-PHOSPHONIC ACID","['KRAS', 'FNTA', 'FNTB']",3
DB07776,Flavone,"['AR', 'ESRRA', 'CYP1B1']",3
DB07778,(S)-famoxadone,"['CYC1', 'MT-CYB', 'UQCRC1', 'UQCRC2', 'UQCRH', 'UQCRQ', 'UQCRFS1', 'UQCR11', 'UQCRB', 'UQCR10']",10
DB07780,Farnesyl diphosphate,"['FDFT1', 'FNTA', 'FNTB', 'KRAS', 'FDPS', 'GGPS1', 'RABGGTA', 'RABGGTB']",8
DB07841,Geranylgeranyl diphosphate,"['FDPS', 'FNTA', 'FNTB', 'PGGT1B', 'GGPS1', 'RABGGTA', 'RABGGTB']",7
DB07853,"2-[4-[4-[(5-cyclopropyl-1H-pyrazol-3-yl)amino]quinazolin-2-yl]iminocyclohexa-2,5-dien-1-yl]acetonitrile","['SLK', 'CAMK2D', 'STK26']",3
DB07859,4-(4-CHLOROPHENYL)-4-[4-(1H-PYRAZOL-4-YL)PHENYL]PIPERIDINE,"['PRKACA', 'AKT2', 'GSK3B']",3
DB07863,2-chloro-5-nitro-N-phenylbenzamide,"['RXRA', 'PPARG', 'NCOA2']",3
DB07919,Harmine,"['DYRK2', 'DYRK1A', 'MAOA']",3
DB07931,Hexestrol,"['AKR1C1', 'ESR1', 'NR1I2', 'NR1I3']",4
DB07947,ISOQUINOLINE-5-SULFONIC ACID (2-(2-(4-CHLOROBENZYLOXY)ETHYLAMINO)ETHYL)AMIDE,"['PRKACA', 'AKT2', 'GSK3B']",3
DB07954,3-isobutyl-1-methyl-7H-xanthine,"['ADORA2A', 'PDE4B', 'PDE4A', 'PDE2A', 'PDE3B', 'PDE7A', 'PDE9A', 'PDE8A']",8
DB08009,SU-11652,"['PDGFRB', 'PDGFRA', 'FLT1', 'KDR']",4
DB08039,"(3Z)-N,N-DIMETHYL-2-OXO-3-(4,5,6,7-TETRAHYDRO-1H-INDOL-2-YLMETHYLIDENE)-2,3-DIHYDRO-1H-INDOLE-5-SULFONAMIDE","['AURKC', 'SRC', 'LCK', 'PRKAA1', 'PRKAB1', 'PRKAG1', 'CAMK2D', 'CALM1']",8
DB08040,Kelatorphan,"['ANPEP', 'ENPEP', 'LTA4H']",3
DB08052,PP-121,"['EGFR', 'PRKDC', 'KDR', 'PDGFRA', 'ABL1', 'HCK', 'PIK3CB', 'MTOR', 'SRC']",9
DB08059,Wortmannin,"['PIK3CD', 'PLK1', 'PIK3R1', 'PIK3CA']",4
DB08073,(2S)-1-(1H-INDOL-3-YL)-3-{[5-(3-METHYL-1H-INDAZOL-5-YL)PYRIDIN-3-YL]OXY}PROPAN-2-AMINE,"['AKT1', 'AKT2', 'GSK3B', 'PRKACA']",4
DB08094,RO-4584820,"['CDK4', 'CDK7', 'CDK2']",3
DB08162,Fasudil,"['ROCK1', 'PRKACA', 'ROCK2']",3
DB08168,Coumarin 120,"['PPIA', 'PPIA', 'PPIF', 'HDAC8']",4
DB08175,"(2E,4E)-11-METHOXY-3,7,11-TRIMETHYLDODECA-2,4-DIENOIC ACID","['NCOA2', 'RXRB', 'NR1H3']",3
DB08178,"4-(4-methoxy-1H-pyrrolo[2,3-b]pyridin-3-yl)pyrimidin-2-amine","['CDK9', 'CDK2', 'CCNA2']",3
DB08180,2-[METHYL-(5-GERANYL-4-METHYL-PENT-3-ENYL)-AMINO]-ETHYL-DIPHOSPHATE,"['FDPS', 'FNTA', 'PGGT1B']",3
DB08182,"4-(4-propoxy-1H-pyrrolo[2,3-b]pyridin-3-yl)pyrimidin-2-amine","['CDK9', 'CDK2', 'CCNA2']",3
DB08231,Myristic acid,"['ABL1', 'CALM1', 'CALM3', 'CALM2', 'TLR4', 'FKBP1A', 'PRKACA', 'ECI2', 'HNF4A', 'NCOA1', 'PPP3R1', 'PPP3CA', 'TRAPPC3', 'GM2A', 'ARF6', 'LY96', 'ARF1', 'PVR', 'PPARA', 'CALM1']",20
DB08235,N-[2-(2-methyl-1H-indol-3-yl)ethyl]thiophene-2-carboxamide,"['ARPC1B', 'ACTR2', 'ACTR3', 'ARPC2', 'ARPC3', 'ARPC4', 'ARPC5']",7
DB08236,"(2S)-2-(3-bromophenyl)-3-(5-chloro-2-hydroxyphenyl)-1,3-thiazolidin-4-one","['ARPC1B', 'ACTR2', 'ACTR3', 'ARPC2', 'ARPC3', 'ARPC4', 'ARPC5']",7
DB08330,METHYL (2Z)-3-METHOXY-2-{2-[(E)-2-PHENYLVINYL]PHENYL}ACRYLATE,"['CYC1', 'MT-CYB', 'UQCRC1', 'UQCRC2', 'UQCRH', 'UQCRQ', 'UQCRFS1', 'UQCR11', 'UQCRB', 'UQCR10']",10
DB08339,PD-166326,"['MAPK14', 'LCK', 'FGFR1', 'PDGFRB', 'EGFR', 'PDGFRA', 'SRC', 'ABL1']",8
DB08342,S-palmitoyl-L-cysteine,"['TRAPPC6A', 'TRAPPC3', 'TRAPPC6B', 'TRAPPC5', 'TRAPPC4', 'TRAPPC1']",6
DB08348,"N~2~,N~2~-DIMETHYL-N~1~-(6-OXO-5,6-DIHYDROPHENANTHRIDIN-2-YL)GLYCINAMIDE","['PARP1', 'EEF2', 'PARP3', 'PARP15']",4
DB08358,"2-(2-QUINOLIN-3-YLPYRIDIN-4-YL)-1,5,6,7-TETRAHYDRO-4H-PYRROLO[3,2-C]PYRIDIN-4-ONE","['MAPKAPK5', 'MAPKAPK2', 'MAPKAPK3']",3
DB08402,"2-[(2,4-DICHLOROBENZOYL)AMINO]-5-(PYRIMIDIN-2-YLOXY)BENZOIC ACID","['PPARG', 'NCOA2', 'RXRA']",3
DB08437,Puromycin,"['RPL13A', 'RPL23', 'RPL15', 'RPL19', 'RPL23A', 'RSL24D1', 'RPL26L1', 'RPL8', 'RPL37', 'RPL3', 'RPL11']",11
DB08453,2-Nonyl-4-quinolinol 1-oxide,"['CYC1', 'MT-CYB', 'UQCRC1', 'UQCRC2', 'UQCRH', 'UQCRQ', 'UQCRFS1', 'UQCR11', 'UQCRB', 'UQCR10']",10
DB08454,N-(5-METHYL-1H-PYRAZOL-3-YL)-2-PHENYLQUINAZOLIN-4-AMINE,"['AURKC', 'GSK3B', 'SRC', 'CAMK1D']",4
DB08513,[4-({5-(AMINOCARBONYL)-4-[(3-METHYLPHENYL)AMINO]PYRIMIDIN-2-YL}AMINO)PHENYL]ACETIC ACID,"['MAPK1', 'INSR', 'IRS1']",3
DB08515,"(3AR,6R,6AS)-6-((S)-((S)-CYCLOHEX-2-ENYL)(HYDROXY)METHYL)-6A-METHYL-4-OXO-HEXAHYDRO-2H-FURO[3,2-C]PYRROLE-6-CARBALDEHYDE","['PSMA1', 'PSMA2', 'PSMA3', 'PSMA4', 'PSMA5', 'PSMA6', 'PSMA7', 'PSMB1', 'PSMB2', 'PSMB3', 'PSMB4', 'PSMB5', 'PSMB6', 'PSMB7']",14
DB08597,Dorsomorphin,"['PRKAA1', 'PRKAB1', 'PRKAG1', 'ACVR1', 'FKBP1A']",5
DB08604,Triclosan,"['NR1I2', 'AR', 'NR1I3', 'PPARG']",4
DB08689,Ubiquinone Q1,"['SDHA', 'SDHB', 'SDHD', 'SDHC']",4
DB08690,Ubiquinone Q2,"['SDHA', 'SDHB', 'SDHC', 'SDHD', 'CYC1', 'MT-CYB', 'UQCRC1', 'UQCRC2', 'UQCRH', 'UQCRQ', 'UQCRFS1', 'UQCR11', 'UQCRB', 'UQCR10']",14
DB08756,Y-27632,"['F2', 'PRKACA', 'ROCK1', 'ROCK2']",4
DB08813,Nadroparin,"['SERPINC1', 'FOS', 'MYC']",3
DB08818,Hyaluronic acid,"['CD44', 'ICAM1', 'LYVE1', 'C1QBP', 'HABP4']",5
DB08846,Ellagic acid,"['HSPA1A', 'HSPA1B', 'GSK3B', 'CA2', 'SYK', 'SQLE', 'CSNK2A1', 'PRKACA', 'PRKCA']",9
DB08868,Fingolimod,"['S1PR1', 'S1PR3', 'HDAC1']",3
DB08877,Ruxolitinib,"['PLAUR', 'JAK2', 'JAK1', 'JAK3', 'TYK2']",5
DB08888,Ocriplasmin,"['FN1', 'A2M', 'SERPINF2']",3
DB08889,Carfilzomib,"['PSMB5', 'PSMB8', 'PSMB1', 'PSMB9', 'PSMB2', 'PSMB10']",6
DB08895,Tofacitinib,"['JAK1', 'JAK2', 'JAK3', 'TYK2']",4
DB08896,Regorafenib,"['FLT1', 'KDR', 'FLT4', 'PDGFRA', 'PDGFRB', 'FGFR1', 'FGFR2', 'TEK', 'EPHA2', 'RAF1', 'BRAF', 'MAPK11', 'FRK', 'ABL1']",14
DB08901,Ponatinib,"['ABL1', 'BCR', 'TEK', 'FGFR1', 'FGFR2', 'FGFR3', 'FGFR4', 'LCK', 'SRC', 'LYN', 'KDR', 'PDGFRA']",12
DB08912,Dabrafenib,"['BRAF', 'RAF1', 'LIMK1']",3
DB08915,Aleglitazar,"['PPARA', 'PPARG', 'NCOA1']",3
DB08951,Indoprofen,"['CXCR1', 'PTGS2', 'FABP1', 'PKM']",4
DB09006,Clinofibrate,"['PPARA', 'PPARG', 'PPARD']",3
DB09061,Cannabidiol,"['PPARG', 'TRPV1', 'CACNA1H', 'TRPM8', 'TRPV2', 'TRPV4', 'VDAC1', 'PTGS2', 'ACAT1', 'CYP17A1', 'HMGCR', 'GSR', 'CAT', 'SOD1']",14
DB09065,Cobicistat,"['CYP3A4', 'CYP3A5', 'CYP3A7']",3
DB09074,Olaparib,"['PARP1', 'PARP2', 'PARP3', 'AKR1C3']",4
DB09078,Lenvatinib,"['FLT1', 'KDR', 'FLT4', 'FGFR1', 'FGFR2', 'FGFR3', 'FGFR4', 'PDGFRA']",8
DB09079,Nintedanib,"['FLT1', 'KDR', 'FLT4', 'PDGFRA', 'PDGFRB', 'FGFR1', 'FGFR2', 'FGFR3', 'LCK', 'LYN', 'SRC']",11
DB09086,Eugenol,"['MAOB', 'ESR1', 'AR']",3
DB09092,Xanthinol,"['NNT', 'GAPDH', 'IDH3A', 'OGDH', 'MDH2', 'RPL3']",6
DB09096,Benzoyl peroxide,"['CAT', 'PRKCA', 'SOD3']",3
DB09109,Turoctocog alfa,"['F9', 'F10', 'F2']",3
DB09116,Calcium carbimide,"['ALDH2', 'ALDH1B1', 'ALDH1A1']",3
DB09130,Copper,"['APP', 'AHCY', 'GAPDH', 'NME1', 'PRDX1', 'S100A8', 'RPSA', 'ACTG1', 'ENO1', 'EEF1A1', 'KRT8', 'P4HB', 'PDIA3', 'HSPD1', 'HSPA13', 'HSPA5', 'HSP90B1', 'TF', 'LYAR', 'RPS2', 'SRSF1', 'HNRNPA2B1', 'HNRNPH1', 'HNRNPH3', 'HNRNPL', 'SFPQ', 'SF3A2', 'RACK1', 'ACTN1', 'ACY1', 'ANXA5', 'CALR', 'PKM', 'AKR1A1', 'CYB5R3', 'GSR', 'TKT', 'PRDX2', 'PRDX6', 'PPIA', 'HSPA8', 'HSP90AA1', 'PTGES3', 'STIP1', 'EIF6', 'EIF4A1', 'GPI', 'LDHA', 'PGK1', 'TUBB', 'CFL1', 'YWHAB', 'GOT1', 'GSS', 'HDGF', 'IDH3A', 'PSME1', 'PEBP1', 'PGAM1', 'RANBP1', 'UGDH', 'B2M', 'SCO1', 'PRNP', 'HTT', 'NEIL1', 'NEIL2', 'SERPINE1', 'S100A4', 'PARK7', 'A1BG', 'AGT', 'AHSG', 'APCS', 'APOA1', 'APOA2', 'APOA4', 'APOBR', 'APOC2', 'APOC3', 'APOD', 'APOE', 'APOH', 'C1QC', 'C1S', 'C3', 'C4B', 'C4BPA', 'C5', 'C8B', 'C9', 'CFH', 'CFI', 'CLEC3B', 'CLU', 'F2', 'C1QBP', 'GSN', 'HBA1', 'HBB', 'CBX5', 'HPR', 'IGFALS', 'ITIH2', 'KNG1', 'KRT1', 'KRT10', 'LRG1', 'LUM', 'PLG', 'PON1', 'PPBP', 'SERPINA1', 'SERPINA6', 'SERPINA7', 'SERPINC1', 'SERPIND1', 'SERPINF1', 'SERPINF2', 'SERPING1', 'TTR', 'VTN']",122
DB09147,Ferric pyrophosphate,"['FTL', 'HBA1', 'HBB']",3
DB09185,Viloxazine,"['ADRA1B', 'ADRB2', 'MAOA', 'MAOB']",4
DB09213,Dexibuprofen,"['PTGS2', 'THBD', 'PLAT', 'PPARG', 'PPARA']",5
DB09221,Polaprezinc,"['FLT1', 'NGF', 'PDGFRB', 'HSP90AA1', 'HSP90AB1']",5
DB09228,Conestat alfa,"['C1R', 'C1S', 'KLKB1', 'F12', 'F2', 'F11', 'PLAT']",7
DB09258,Bemiparin,"['F10', 'SERPINC1', 'SERPIND1']",3
DB09273,Doxofylline,"['ADRB2', 'PDE2A', 'ADORA2A']",3
DB09283,Trapidil,"['FGFR3', 'PDE4A', 'PDGFRB']",3
DB09285,Morniflumate,"['PTGS2', 'ALOX5', 'LTB4R', 'TBXA2R']",4
DB09332,Kappadione,"['F2', 'F7', 'F9', 'F10', 'PROC', 'GGCX', 'PROS1']",7
DB09371,Norethynodrel,"['ESR1', 'AR', 'SHBG']",3
DB09462,Glycerin,"['PPARD', 'ISYNA1', 'ADH1B', 'ITPR1', 'NAGA', 'ARF1', 'PAPSS1', 'GSTZ1']",8
DB09517,Sodium ferric gluconate complex,"['FTL', 'HBB', 'HBA1']",3
DB09568,Omega-3-carboxylic acids,"['DGAT2', 'HSD17B10', 'ECHS1', 'HADH']",4
DB10770,Foreskin fibroblast (neonatal),"['FLT1', 'IL1R1', 'TGFBR2', 'FGFR2', 'PDGFRB', 'TGFB1']",6
DB10772,Foreskin keratinocyte (neonatal),"['EGFR', 'PDGFRA', 'TGFBR2', 'TGFB1', 'FGFR2']",5
DB11093,Calcium citrate,"['CALR', 'CIB1', 'PDCD6', 'SRI', 'CHP1', 'SPARC', 'CANX', 'RGN', 'PEF1', 'S100A6', 'TPT1', 'S100A13', 'CALM2', 'CALM3', 'NCS1', 'CALM1']",16
DB11124,Racepinephrine,"['ADRA1A', 'ADRA1B', 'ADRA2B', 'ADRB2']",4
DB11133,Omega-3 fatty acids,"['PPARG', 'PPARA', 'SREBF1']",3
DB11294,Coccidioides immitis spherule,"['HLA-DRA', 'HLA-A', 'HLA-B']",3
DB11300,Thrombin,"['F11', 'F13B', 'FGA', 'FGB', 'FGG', 'F5', 'F8', 'F2R']",8
DB11311,Prothrombin,"['FGA', 'FGB', 'CPB2']",3
DB11338,Clove oil,"['VCAM1', 'CXCL10', 'COL1A1']",3
DB11348,Calcium Phosphate,"['CALR', 'CIB1', 'PDCD6', 'SRI', 'CHP1', 'SPARC', 'CANX', 'RGN', 'PEF1', 'S100A6', 'TPT1', 'S100A13', 'CALM2', 'CALM3', 'NCS1', 'CALM1']",16
DB11428,Medetomidine,"['ADRA1B', 'ADRA2B', 'ADRA1A']",3
DB11571,Human thrombin,"['F5', 'F8', 'F11', 'F13B', 'FGA', 'FGB', 'FGG']",7
DB11572,Thrombin alfa,"['F5', 'F8', 'FGA', 'FGB', 'FGG']",5
DB11605,Myrrh,"['NR1H4', 'NR1I2', 'PPARA']",3
DB11619,Gestrinone,"['NR3C1', 'AR', 'ESR1', 'SHBG']",4
DB11629,Laropiprant,"['HMGCR', 'TBXA2R', 'PTGIR']",3
DB11638,Artenimol,"['ACTG1', 'ALDH7A1', 'ANXA2', 'CAST', 'CCT3', 'CFL1', 'DPYSL2', 'DSP', 'EEF1A1', 'ENO1', 'FLNA', 'FTO', 'G6PD', 'GPI', 'HNRNPA2B1', 'HNRNPD', 'HNRNPK', 'HSPB1', 'IQGAP1', 'KHSRP', 'LDHA', 'LGALS1', 'PFN1', 'PGK1', 'PKM', 'PPIA', 'PRDX1', 'RPL10', 'RPL14', 'RPL18', 'RPL23A', 'RPL35', 'RPL4', 'RPS13', 'RPS17', 'RPS18', 'RPS19', 'RPS28', 'RPS5', 'RPS6', 'RPS8', 'RPS9', 'SF1', 'SFPQ', 'SNRPD2', 'SRP14', 'SRSF4', 'TAGLN', 'TPI1', 'TPM1', 'TUBA1A', 'VIM', 'ZYX', 'HSPA8', 'TUBB6', 'TUBB', 'ALDOA', 'GAPDH', 'CYCS', 'PGAM1', 'MYH9', 'P4HB', 'DDX5', 'SHMT2', 'DDX39B', 'NPM1', 'OAT', 'GAPDH', 'VAPA', 'ALB']",70
DB11665,BMS-690514,"['KDR', 'EGFR', 'ERBB2']",3
DB11666,Buparlisib,"['PIK3CD', 'PIK3CB', 'PIK3CA']",3
DB11672,Curcumin,"['CYP3A4', 'XDH', 'MMP9', 'PTGS2', 'APP', 'CA2', 'PPARG', 'ABCC5', 'CBR1', 'GSTP1']",10
DB11679,Fruquintinib,"['FLT1', 'KDR', 'FLT4']",3
DB11693,Voclosporin,"['CAMLG', 'PPP3CA', 'PPP3R1']",3
DB11718,Encorafenib,"['BRAF', 'CCND1', 'RAF1', 'MAPK8', 'MAPK9', 'LIMK1', 'LIMK2', 'MAP2K4', 'STK36']",9
DB11741,Famitinib,"['PDGFRA', 'PDGFRB', 'FLT1', 'FLT4', 'KDR']",5
DB11752,Bryostatin 1,"['PRKCE', 'PRKCA', 'CASP8', 'PTGS2', 'CCND1', 'UNC13B']",6
DB11759,Pevonedistat,"['UBA3', 'NEDD8', 'NAE1']",3
DB11763,Momelotinib,"['JAK1', 'JAK2', 'JAK3', 'TYK2', 'ACVR1']",5
DB11767,Sarilumab,"['IL6R', 'FCGR2A', 'FCGR2B', 'FCGR3A', 'FCGR3B']",5
DB11800,Tivozanib,"['FLT1', 'KDR', 'FLT4', 'PDGFRB', 'PDGFRA', 'PTK6', 'TEK', 'FGFR1', 'MET']",9
DB11817,Baricitinib,"['JAK1', 'JAK2', 'JAK3', 'TYK2']",4
DB11828,Neratinib,"['KDR', 'ERBB2', 'EGFR']",3
DB11830,Mocetinostat,"['HDAC1', 'HDAC3', 'HDAC2']",3
DB11845,Lucitanib,"['FGFR1', 'FGFR2', 'KDR', 'PDGFRA', 'FGFR3', 'FLT4', 'PDGFRB', 'FLT1']",8
DB11870,RG-4733,"['APH1B', 'NCSTN', 'APH1A', 'PSENEN', 'PSEN1']",5
DB11886,Infigratinib,"['FGFR1', 'FGFR2', 'FGFR3', 'FGFR4']",4
DB11893,Avagacestat,"['APH1A', 'NCSTN', 'APH1B', 'PSENEN', 'PSEN1']",5
DB11994,Diacerein,"['NR1H3', 'NR1H2', 'ALOX5', 'CYP1A2', 'CYP3A4', 'CYP2E1', 'CYP2C9', 'CYP2D6']",8
DB12005,Nirogacestat,"['APH1B', 'NCSTN', 'PSEN1', 'PSENEN', 'APH1A', 'PSEN2']",6
DB12010,Fostamatinib,"['SYK', 'FAAH', 'UGT1A1', 'ALOX5', 'CTSS', 'CTSL', 'ABL1', 'TYK2', 'COQ8A', 'JAK1', 'MET', 'STK26', 'PRKACA', 'STK24', 'STK3', 'TEC', 'STK35', 'STK36', 'STK38', 'STK38L', 'TAOK1', 'TAOK2', 'TAOK3', 'TBK1', 'TEK', 'TESK1', 'TGFBR1', 'TGFBR2', 'TLK1', 'TLK2', 'TNIK', 'TNK2', 'TXK', 'ULK1', 'ULK2', 'ULK3', 'WEE1', 'YES1', 'MAP3K20', 'ZAP70', 'AAK1', 'ABL2', 'ACVR1', 'ACVR1B', 'COQ8B', 'AURKA', 'AURKC', 'AXL', 'BMPR2', 'BRAF', 'CAMK1', 'CAMK1D', 'CAMK2B', 'CAMK2D', 'CAMK2G', 'CAMKK2', 'CASK', 'CDK4', 'CHEK2', 'CLK1', 'CLK4', 'CSF1R', 'CSK', 'CSNK1A1', 'CSNK2A1', 'CSNK2A2', 'DAPK1', 'DAPK3', 'DYRK1A', 'DYRK1B', 'EGFR', 'EIF2AK1', 'EIF2AK2', 'EIF2AK4', 'EPHA1', 'EPHA2', 'EPHB4', 'EPHB6', 'ERBB2', 'ERN1', 'FES', 'FGFR1', 'FGFR2', 'FGFR3', 'FGR', 'FLT1', 'FLT4', 'MTOR', 'FRK', 'FYN', 'GAK', 'GSK3A', 'GSK3B', 'HCK', 'HIPK2', 'HIPK3', 'IKBKB', 'INSR', 'IRAK1', 'IRAK3', 'IRAK4', 'JAK2', 'JAK3', 'KDR', 'LATS1', 'LCK', 'LIMK1', 'LIMK2', 'LRRK2', 'LYN', 'MAP2K2', 'MAP2K3', 'MAP2K5', 'MAP3K1', 'MAP3K10', 'MAP3K11', 'MAP3K12', 'MAP3K13', 'MAP3K2', 'MAP3K3', 'MAP3K4', 'MAP3K6', 'MAP4K1', 'MAP4K2', 'MAP4K3', 'MAP4K4', 'MAP4K5', 'MAPK13', 'MAPK14', 'MAPK7', 'MAPK9', 'MAPKAPK5', 'MARK3', 'MARK4', 'CLASP1', 'MERTK', 'MINK1', 'MKNK1', 'MKNK2', 'MYLK', 'NEK1', 'NEK9', 'NUAK1', 'OXSR1', 'PAK1', 'PAK2', 'PAK4', 'PDGFRA', 'PDGFRB', 'PDPK1', 'PI4KB', 'PIK3C2B', 'PIK3C2G', 'PIK3CD', 'PIM1', 'PIP4K2B', 'PIP4K2C', 'PKN1', 'PKN2', 'PLK1', 'PLK2', 'PLK3', 'PRKAA1', 'PRKAA1', 'PRKACB', 'PRKCD', 'PRKCE', 'PRKCI', 'PTK2', 'PTK2B', 'PTK6', 'RAF1', 'RIOK1', 'RIOK2', 'RIOK3', 'RIPK1', 'RIPK2', 'RIPK4', 'ROCK2', 'RPS6KA1', 'RPS6KA3', 'SGK3', 'SIK2', 'SLK', 'SRC']",185
DB12025,Triptolide,"['RELB', 'NFKB1', 'NFKB2', 'RELA', 'REL']",5
