drugbank_id,drug_name,drug_type,gene_symbol,actions,in_liver_lcc
DB12414,Usistapide,small molecule,MTTP,inhibitor,True
DB12415,Galeterone,small molecule,AR,inhibitor,True
DB12417,Anagliptin,small molecule,DPP4,modulator,True
DB12418,Saccharin,small molecule,CA2,inhibitor,True
DB12420,Diazepinomicin,small molecule,TSPO,modulator,True
DB12424,MK-3207,small molecule,CALCRL,antagonist,True
DB12428,PAC-14028,small molecule,TRPV1,antagonist,True
DB12429,CI-1040,small molecule,MAP3K1,inhibitor,True
DB12429,CI-1040,small molecule,MAP3K2,inhibitor,True
DB12429,CI-1040,small molecule,SGK1,inhibitor,True
DB12429,CI-1040,small molecule,MAPK1,inhibitor,True
DB12429,CI-1040,small molecule,RPS6KB1,inhibitor,True
DB12429,CI-1040,small molecule,ROCK1,inhibitor,True
DB12429,CI-1040,small molecule,MAPK8,inhibitor,True
DB12429,CI-1040,small molecule,PRKCA,inhibitor,True
DB12429,CI-1040,small molecule,MAPK11,inhibitor,True
DB12429,CI-1040,small molecule,MAPK14,inhibitor,True
DB12429,CI-1040,small molecule,LCK,inhibitor,True
DB12429,CI-1040,small molecule,GSK3B,inhibitor,True
DB12429,CI-1040,small molecule,AKT1,inhibitor,True
DB12432,CC-401,small molecule,MAPK8,modulator,True
DB12432,CC-401,small molecule,MAPK9,modulator,True
DB12435,Tipelukast,small molecule,ALOX5,modulator,True
DB12442,Alvespimycin,small molecule,HSP90AA1,inhibitor,True
DB12443,Sonedenoson,small molecule,ADORA2A,agonist,True
DB12445,Nitroaspirin,small molecule,PTGS2,inhibitor,True
DB12449,Tempol,small molecule,SOD1,modulator,True
DB12450,Propyl Gallate,small molecule,ESR1,,True
DB12451,SCY-635,small molecule,CAMLG,modulator,True
DB12452,Caprylic alcohol,small molecule,GJA1,inhibitor,True
DB12457,Rimegepant,small molecule,CALCRL,antagonist,True
DB12459,Belotecan,small molecule,TOP1,inhibitor,True
DB12461,GLPG-0492,small molecule,AR,modulator,True
DB12462,Ralinepag,small molecule,PTGIR,agonist,True
DB12463,Semagacestat,small molecule,APH1B,modulator,True
DB12463,Semagacestat,small molecule,NCSTN,modulator,True
DB12463,Semagacestat,small molecule,APH1A,modulator,True
DB12463,Semagacestat,small molecule,PSENEN,modulator,True
DB12463,Semagacestat,small molecule,PSEN1,modulator,True
DB12483,Copanlisib,small molecule,PIK3CA,inhibitor,True
DB12483,Copanlisib,small molecule,PIK3CD,inhibitor,True
DB12483,Copanlisib,small molecule,PIK3CB,inhibitor,True
DB12484,Tetrahydrouridine,small molecule,CDA,modulator,True
DB12487,Promestriene,small molecule,ESR1,modulator,True
DB12495,Selepressin,small molecule,AVPR1A,agonist,True
DB12499,Clascoterone,small molecule,AR,antagonist,True
DB12500,Fedratinib,small molecule,JAK2,inhibitor,True
DB12500,Fedratinib,small molecule,JAK1,inhibitor,True
DB12507,Atecegatran metoxil,small molecule,F2,inhibitor,True
DB12509,Imeglimin,small molecule,PRKAA1,modulator,True
DB12509,Imeglimin,small molecule,PRKAB1,modulator,True
DB12509,Imeglimin,small molecule,PRKAG1,modulator,True
DB12511,Imiglitazar,small molecule,PPARG,modulator,True
DB12511,Imiglitazar,small molecule,PPARA,modulator,True
DB12513,Omaveloxolone,small molecule,NFE2L2,activator,True
DB12513,Omaveloxolone,small molecule,KEAP1,inhibitor,True
DB12514,Iofolastat I-123,small molecule,FOLH1,inhibitor,True
DB12515,9-aminocamptothecin,small molecule,TOP1,inhibitor,True
DB12518,Raclopride,small molecule,INSR,stimulator,True
DB12526,Batefenterol,small molecule,ADRB2,modulator,True
DB12527,Sofinicline,small molecule,CHRNA4,modulator,True
DB12535,AC-430,small molecule,JAK2,modulator,True
DB12537,"1,2-Benzodiazepine",small molecule,TSPO,agonist,True
DB12539,Oltipraz,small molecule,TGM2,inhibitor,True
DB12541,SAR-405838,small molecule,TP53,modulator,True
DB12542,GSK-356278,small molecule,PDE4A,inhibitor,True
DB12542,GSK-356278,small molecule,PDE4B,inhibitor,True
DB12548,Sparsentan,small molecule,EDNRA,antagonist,True
DB12548,Sparsentan,small molecule,AGTR1,antagonist,True
DB12549,Pyrazoloacridine,small molecule,TOP2B,modulator,True
DB12550,Taladegib,small molecule,SMO,modulator,True
DB12556,MK-5108,small molecule,AURKA,regulator,True
DB12557,FK-614,small molecule,PPARG,agonist,True
DB12558,AEE-788,small molecule,FGFR2,inhibitor,True
DB12558,AEE-788,small molecule,FGFR3,inhibitor,True
DB12561,WNT-974,small molecule,PORCN,inhibitor,True
DB12565,Abexinostat,small molecule,HDAC1,,True
DB12565,Abexinostat,small molecule,HDAC1,inhibitor,True
DB12566,Decernotinib,small molecule,JAK3,inhibitor,True
DB12569,Tonapofylline,small molecule,ADORA2A,inhibitor,True
DB12570,Onatasertib,small molecule,MTOR,modulator,True
DB12571,Rimacalib,small molecule,CAMK2B,modulator,True
DB12571,Rimacalib,small molecule,CAMK2D,modulator,True
DB12571,Rimacalib,small molecule,CAMK2G,modulator,True
DB12582,Piperine,small molecule,MAOA,inhibitor,True
DB12582,Piperine,small molecule,MAOB,inhibitor,True
DB12582,Piperine,small molecule,NR1I2,,True
DB12588,AZD-1480,small molecule,JAK2,modulator,True
DB12589,Dacetuzumab,biotech,CD40,,True
DB12591,BMS-911543,small molecule,JAK2,modulator,True
DB12597,Asciminib,small molecule,ABL1,inhibitor;allosteric modulator,True
DB12598,Nafamostat,small molecule,F2,inhibitor,True
DB12598,Nafamostat,small molecule,F10,inhibitor,True
DB12598,Nafamostat,small molecule,F12,inhibitor,True
DB12598,Nafamostat,small molecule,PRSS1,inhibitor,True
DB12598,Nafamostat,small molecule,ICAM1,inhibitor,True
DB12610,Ebselen,small molecule,ALB,binder,True
DB12610,Ebselen,small molecule,KDM4A,inhibitor,True
DB12610,Ebselen,small molecule,EPHX2,inhibitor,True
DB12612,Ozanimod,small molecule,S1PR1,agonist,True
DB12614,Reparixin,small molecule,CXCR1,modulator,True
DB12615,Plazomicin,small molecule,MRM2,inhibitor,True
DB12617,Mizoribine,small molecule,IMPDH1,inhibitor,True
DB12622,Lupeol,small molecule,TOP2B,inhibitor,True
DB12625,Evogliptin,small molecule,DPP4,inhibitor,True
DB12635,Aleplasinin,small molecule,SERPINE1,inhibitor,True
DB12635,Aleplasinin,small molecule,SERPINA5,inhibitor,True
DB12637,Onapristone,small molecule,NR3C1,,True
DB12637,Onapristone,small molecule,ADGRD1,,True
DB12638,Zelavespib,small molecule,HSP90AB1,inhibitor,True
DB12643,Nelivaptan,small molecule,AVPR1A,inhibitor,True
DB12645,Givinostat,small molecule,HDAC1,inhibitor,True
DB12645,Givinostat,small molecule,JAK2,inhibitor,True
DB12645,Givinostat,small molecule,HDAC1,inhibitor,True
DB12647,Tocotrienol,small molecule,HMGCR,inhibitor,True
DB12651,Bardoxolone,small molecule,CASP8,,True
DB12662,Naveglitazar,small molecule,PPARG,modulator,True
DB12662,Naveglitazar,small molecule,PPARA,modulator,True
DB12664,Indantadol,small molecule,MAOB,inhibitor,True
DB12664,Indantadol,small molecule,MAOA,inhibitor,True
DB12665,Isoquercetin,small molecule,AKR1B1,inhibitor,True
DB12666,Emapunil,small molecule,TSPO,agonist,True
DB12671,Beloranib,small molecule,METAP2,inhibitor,True
DB12672,Icaritin,small molecule,ESR1,modulator,True
DB12679,WP-1066,small molecule,STAT3,inhibitor,True
DB12681,Salirasib,small molecule,MTOR,modulator,True
DB12681,Salirasib,small molecule,NRAS,antagonist,True
DB12682,Mubritinib,small molecule,EGFR,inhibitor,True
DB12682,Mubritinib,small molecule,ERBB2,inhibitor,True
DB12686,PHA-793887,small molecule,CDK2,inhibitor,True
DB12686,PHA-793887,small molecule,CDK4,inhibitor,True
DB12688,Moxetumomab pasudotox,biotech,EEF2,inactivator,True
DB12689,Azeliragon,small molecule,AGER,antagonist,True
DB12691,UK-432097,small molecule,ADORA2A,agonist,True
DB12695,Phenethyl Isothiocyanate,small molecule,ACTA2,,True
