dilirank_name,Z_mito,k_mito,Z_bile,k_bile,Z_reactive,k_reactive,Proposed_Mechanism,Max_Z_Mech,is_dili,tmc_prob,Mechanism_Declaration
Benztropine mesylate,-0.2337042495679893,0,-0.186062325369376,0,-0.2227177015936869,0,Unexplained,-0.186062325369376,0,0.3524015387047616,Unexplained / Idiosyncratic
Betaine,-0.10451571773292,0,-0.0832096015155216,0,-0.0996023841111994,0,Unexplained,-0.0832096015155216,0,0.451020452897919,Unexplained / Idiosyncratic
Betrixaban,-0.10451571773292,0,-0.0832096015155216,0,-0.0996023841111994,0,Unexplained,-0.0832096015155216,0,0.4786366334872154,Unexplained / Idiosyncratic
Bexarotene,-0.1810265333029449,0,-0.1441232575024438,0,-0.1725163898355885,0,Unexplained,-0.1441232575024438,1,0.6558099964515522,Unexplained / Idiosyncratic
Bicalutamide,-0.10451571773292,0,-0.0832096015155216,0,-0.0996023841111994,0,Unexplained,-0.0832096015155216,1,0.449535205012961,Unexplained / Idiosyncratic
Biperiden hydrochloride,-0.10451571773292,0,-0.0832096015155216,0,-0.0996023841111994,0,Unexplained,-0.0832096015155216,0,0.3114161823787792,Unexplained / Idiosyncratic
Bisacodyl,-0.1478075454990536,0,-0.1176761469829116,0,-0.1408590424547527,0,Unexplained,-0.1176761469829116,0,0.4465520053925529,Unexplained / Idiosyncratic
Bivalirudin,-0.10451571773292,0,-0.0832096015155216,0,-0.0996023841111994,0,Unexplained,-0.0832096015155216,0,0.3542171610371984,Unexplained / Idiosyncratic
Bortezomib,-0.1810265333029449,0,-0.1441232575024438,0,-0.1725163898355885,0,Unexplained,-0.1441232575024438,1,0.4153066063204414,Unexplained / Idiosyncratic
Bosentan,-0.1478075454990536,0,-0.1176761469829116,0,-0.1408590424547527,0,Unexplained,-0.1176761469829116,1,0.6694477241915716,Unexplained / Idiosyncratic
Brexanolone,-0.2337042495679893,0,-0.186062325369376,0,-0.2227177015936869,0,Unexplained,-0.186062325369376,0,0.4348039519254757,Unexplained / Idiosyncratic
Brexpiprazole,-0.3620530666058899,0,-0.2882465150048876,0,-0.3450327796711771,0,Unexplained,-0.2882465150048876,0,0.6191577588933986,Unexplained / Idiosyncratic
Brivaracetam,-0.1478075454990536,0,-0.1176761469829116,0,-0.1408590424547527,0,Unexplained,-0.1176761469829116,0,0.3919036329210488,Unexplained / Idiosyncratic
Bromfenac sodium,-0.1478075454990536,0,-0.1176761469829116,0,-0.1408590424547527,0,Unexplained,-0.1176761469829116,1,0.557314647450406,Unexplained / Idiosyncratic
Bromocriptine mesylate,-0.4434226364971609,0,-0.3530284409487348,0,-0.4225771273642583,0,Unexplained,-0.3530284409487348,1,0.4161672783028209,Unexplained / Idiosyncratic
Brompheniramine maleate,-0.2560101785464095,0,-0.2038210654133459,0,-0.2439750182371333,0,Unexplained,-0.2038210654133459,0,0.3401588919439228,Unexplained / Idiosyncratic
Budesonide,-0.1478075454990536,0,-0.1176761469829116,0,-0.1408590424547527,0,Unexplained,-0.1176761469829116,0,0.5084800379786492,Unexplained / Idiosyncratic
Bupropion hydrochloride,-0.2337042495679893,0,-0.186062325369376,0,-0.2227177015936869,0,Unexplained,-0.186062325369376,1,0.4028922078474189,Unexplained / Idiosyncratic
Butorphanol tartrate,-0.1810265333029449,0,-0.1441232575024438,0,-0.1725163898355885,0,Unexplained,-0.1441232575024438,0,0.2548619102015284,Unexplained / Idiosyncratic
Cabergoline,-0.4674084991359786,0,-0.372124650738752,0,-0.4454354031873739,0,Unexplained,-0.372124650738752,0,0.4958718412017865,Unexplained / Idiosyncratic
Caffeine citrate,-0.4047876341965143,0,-0.3222694009141709,0,-0.3857583749052298,0,Unexplained,-0.3222694009141709,0,0.6342128422027582,Unexplained / Idiosyncratic
Calcitonin salmon,-0.10451571773292,0,-0.0832096015155216,0,-0.0996023841111994,0,Unexplained,-0.0832096015155216,0,0.1776603201796287,Unexplained / Idiosyncratic
Calcitriol,-0.1478075454990536,0,-0.1176761469829116,0,-0.1408590424547527,0,Unexplained,-0.1176761469829116,0,0.2933961047141557,Unexplained / Idiosyncratic
Calcium acetate,-0.4674084991359786,0,-0.372124650738752,0,-0.4454354031873739,0,Unexplained,-0.372124650738752,0,0.6577795860093523,Unexplained / Idiosyncratic
Canagliflozin,-0.10451571773292,0,-0.0832096015155216,0,-0.0996023841111994,0,Unexplained,-0.0832096015155216,1,0.3577959827580762,Unexplained / Idiosyncratic
Candesartan cilexetil,-0.10451571773292,0,-0.0832096015155216,0,-0.0996023841111994,0,Unexplained,-0.0832096015155216,1,0.4347980912357012,Unexplained / Idiosyncratic
Cangrelor,-0.10451571773292,0,-0.0832096015155216,0,-0.0996023841111994,0,Unexplained,-0.0832096015155216,0,0.281354454531907,Unexplained / Idiosyncratic
Capecitabine,-0.1478075454990536,0,-0.1176761469829116,0,-0.1408590424547527,0,Unexplained,-0.1176761469829116,1,0.4980790094124561,Unexplained / Idiosyncratic
