uniprot_id,gene_symbol
Q12879,GRIN1
Q12882,DPYD
Q13002,GRIK2
Q13131,PRKAA1
Q13224,GRIN2B
Q13315,ATM
Q13324,CRHR2
Q13332,PTPRS
Q13547,HDAC1
Q13621,SLC12A1
Q13639,HTR4
Q13698,CACNA1S
Q13794,PMAIP1
Q13882,PTK6
Q13885,TUBB2A
Q13936,CACNA1C
Q13956,PDE6H
Q14003,KCNC3
Q14145,KEAP1
Q14181,POLA2
Q14289,PTK2B
Q14432,PDE3A
Q14457,BECN1
Q14500,KCNJ12
Q14524,SCN5A
Q14534,SQLE
Q14576,IQGAP1
Q14643,ITPR1
Q14654,KCNJ11
Q14697,GANAB
Q14721,KCNB1
Q14957,GRIN2C
Q14978,NOLC1
Q14994,NR1I3
Q15125,EBP
Q15185,PTGES3
Q15274,QPRT
Q15303,ERBB4
Q15596,NCOA2
Q15717,ELOVL1
Q15758,SLC1A5
Q15759,MAPK11
Q15822,CHRNA2
Q15825,CHRNA6
Q15858,SCN9A
Q15878,CACNA1E
Q16134,ETFDH
Q16236,NFE2L2
Q16322,KCNA10
Q16348,SLC15A2
Q16445,GABRA6
Q16512,PKN1
Q16515,ASIC2
Q16539,MAPK14
Q16568,CARTPT
Q16602,CALCRL
Q16620,NTRK2
Q16654,PDK4
Q16665,HIF1A
Q16678,CYP1B1
Q16739,UGCG
Q16790,CA9
Q16832,DDR2
Q16853,AOC3
Q17328,glc-2
Q2G0P0,rplA
Q32P28,P3H1
Q47066,bla
Q4U2R8,SLC22A6
Q51504,pbpB
Q51793,phzG
Q51911,pab
Q51990,morB
Q53707,mecA
Q53ZE5,pyrDA
Q56691,frp
Q59192,parE
Q5SHN7,rpsJ
Q5XXA6,ANO1
Q60049,nox
Q60FT7,pbp3
Q63344,Insr
Q6N063,OGFOD2
Q6NS38,ALKBH2
Q6ZQN7,SLCO4C1
Q71U36,TUBA1A
Q72547,UGT1A8
Q72874,pol
Q746I8,fni
Q75Y35,pbp3
Q7CRA4,pbp1b
Q7L0J3,SV2A
Q7LG56,RRM2B
Q7RTT9,SLC29A4
Q7Z2Z2,EFL1
Q7ZJM1,TRPM2
Q86V67,PDE4
Q86YN6,PPARGC1B
Q8DNB6,pbp2a
Q8DR59,pbpA
Q8GGK7,ppcA
Q8IVH4,MMAA
Q8IVL5,P3H2
Q8IVL6,P3H3
Q8IWT1,SCN4B
Q8L103,PBP1
Q8N1C3,GABRG1
Q8N1Q1,CA13
Q8N543,OGFOD1
Q8N6T7,SIRT6
Q8N8N7,PTGR2
Q8N8R3,SLC25A29
Q8NER1,TRPV1
Q8NFJ5,GPRC5A
Q8TAB3,PCDH19
Q8TCC7,SLC22A8
Q8TCU5,GRIN3A
Q8TD30,GPT2
Q8TD43,TRPM4
Q8TDS4,HCAR2
Q8TDU6,GPBAR1
Q8TET4,GANC
Q8WY07,SLC7A3
Q8XJ01,pbpA
Q91WR5,Ugt1a8
Q92206,ERG1
Q92482,AQP3
Q92523,CPT1B
Q92570,NR4A3
Q92731,ESR2
Q92736,RYR2
Q92769,HDAC2
Q92847,GHSR
Q92953,KCNB2
Q93088,BHMT
Q965D5,Ugt1a7
Q965D6,Ugt1a9
Q965D7,Ugt1a6
Q969G6,RFK
Q969P6,TOP1MT
Q96A70,AZIN2
Q96CD2,PPCDC
Q96FL8,SLC47A1
Q96GD4,AURKB
Q96KS0,EGLN2
Q96L21,RPL10L
Q96LZ3,PPP3R2
Q96NT5,SLC46A1
Q96P88,GNRHR2
Q96PD7,DGAT2
Q96PR1,KCNC2
Q96Q83,ALKBH3
Q96RI1,NR1H4
Q96RJ0,TAAR1
Q96RP8,KCNA7
Q96S37,SLC22A12
Q96SW2,CRBN
Q99062,CSF3R
Q99250,SCN2A
Q99500,S1PR3
Q99519,NEU1
Q99527,GPER1
Q99584,S100A13
Q99677,LPAR4
Q99707,MTR
Q99720,SIGMAR1
Q99808,SLC29A1
Q99928,GABRG3
Q9BQB6,VKORC1
Q9BY41,HDAC8
Q9BY66,KDM5D
Q9BYF1,ACE2
Q9D6N1,Rrm2
Q9F0J6,roo
Q9FDN7,fprA
Q9GZT9,EGLN1
Q9H015,SLC22A4
Q9H169,STMN4
Q9H228,S1PR5
Q9H244,P2RY12
Q9H252,KCNH6
Q9H2M3,BHMT2
Q9H3N8,HRH4
Q9H3S4,TPK1
Q9H4B7,TUBB1
Q9H6Z9,EGLN3
Q9H8P0,SRD5A3
Q9HAB3,SLC52A2
Q9HBH1,PDF
Q9HC97,KCNQ2
Q9HCR9,PDE11A
Q9NPA2,MMP25
Q9NPC2,KCNK9
Q9NPD5,SLCO1B3
Q9NPH5,SLC23A1
Q9NR33,POLE4
Q9NR82,KCNQ5
Q9NR96,TLR9
Q9NRF9,POLE3
Q9NS40,KCNH7
Q9NS85,CA10
Q9NSA0,SLC22A11
Q9NSA2,KCND1
Q9NVH6,TMLHE
Q9NVS9,PNPO
Q9NXG6,P4HTM
Q9NY46,SCN3A
Q9NY47,CACNA2D2
Q9NY56,OBP2A
Q9NY72,SCN3B
Q9NYA1,TLR4
Q9NYK1,TLR7
Q9NYL2,MAP3K20
Q9NYQ3,HAO2
Q9NYX4,CALY
