dilirank_name,smiles,is_dili,drugbank_id,targets,n_targets
Etelcalcetide,CC(C(=O)NC(CCCN=C(N)N)C(=O)N)NC(=O)C(CCCN=C(N)N)NC(=O)C(CCCN=C(N)N)NC(=O)C(CCCN=C(N)N)NC(=O)C(C)NC(=O)C(CSSCC(C(=O)O)N)NC(=O)C,0,DB12865,['P41180'],1
Ethambutol hydrochloride,CCC(CO)NCCNC(CC)CO.Cl.Cl,1,DB00330,"['P9WNL5', 'P9WNL7', 'P9WNL9']",3
Ethanolamine oleate,CCCCCCCCC=CCCCCCCCC(=O)O.C(CO)N,0,DB06689,['P00748'],1
Ethionamide,CCC1=NC=CC(=C1)C(=S)N,1,DB00609,"['P9WGR1', 'Q16236', 'P9WIE5']",3
Etodolac,CCC1=C2C(=CC=C1)C3=C(N2)C(OCC3)(CC)CC(=O)O,1,DB00749,"['P35354', 'P23219', 'P19793']",3
Etomidate,CCOC(=O)C1=CN=CN1C(C)C2=CC=CC=C2,0,DB00292,"['Q99928', 'P14867', 'P18089', 'P14867']",4
Etoposide,CC1OCC2C(O1)C(C(C(O2)OC3C4COC(=O)C4C(C5=CC6=C(C=C35)OCO6)C7=CC(=C(C(=C7)OC)O)OC)O)O,1,DB00773,"['P11388', 'Q02880']",2
Etravirine,CC1=CC(=CC(=C1OC2=NC(=NC(=C2Br)N)NC3=CC=C(C=C3)C#N)C)C#N,1,DB06414,"['P03366', 'P04585', 'Q72547']",3
Everolimus,CC1CCC2CC(C(=CC=CC=CC(CC(C(=O)C(C(C(=CC(C(=O)CC(OC(=O)C3CCCCN3C(=O)C(=O)C1(O2)O)C(C)CC4CCC(C(C4)OC)OCCO)C)C)O)OC)C)C)C)OC,1,DB01590,['P42345'],1
Exemestane,CC12CCC3C(C1CCC2=O)CC(=C)C4=CC(=O)C=CC34C,1,DB00990,['P11511'],1
